FQDN:kynubuntu20 ,,,,
 ACCOUNT:Oxxo ,,,,
ACCOUNT BAMID:28072026 ,,,,
CIS Benchmark Version: 3.0.0 ,,,,
Scan Date: 2026-07-28 ,,,,
Time-Stamp: 15:21:22 ,,,,
IP-ADDRESS:172.25.24.128/20 ,,,,
OS-NAME: Ubuntu_20.04.6_LTS ,,,,
Scan Version: V1.0 ,,,,
********************************************************,,,,
SECTION-ID,SECTION-HEADING,SYSTEM-VALUE/PARAMETER,CURRENT-VALUE,TEST-RESULT
1.3.1.2,Initial Setup / Mandatory Access Control,Ensure AppArmor is enabled in the bootloader configuration.,apparmor=0 not found in grub config - AppArmor is enabled.,Yes
1.3.1.3,Initial Setup / Mandatory Access Control,Ensure all AppArmor Profiles are not disabled., Profiles loaded: 38. No unconfined processes found.,Yes
1.4.1,Initial Setup / Configure Bootloader,Ensure bootloader password is set.,Superuser not found in bootloader file /boot/grub/grub.cfg.,No
1.4.2,Initial Setup / Configure Bootloader,Ensure access to bootloader config is configured., Permissions on /boot/grub/grub.cfg are 444 (should be 0600 or more restrictive).,No
1.5.1,Initial Setup / Configure Additional Process Hardening,Ensure randomize_va_space is configured., kernel.randomize_va_space = 2 not found in any sysctl conf file.,No
1.5.2,Initial Setup / Configure Additional Process Hardening,Ensure ptrace_scope is configured., kernel.yama.ptrace_scope is set to 1 in running config. kernel.yama.ptrace_scope found in sysctl conf: /etc/sysctl.d/10-ptrace.conf:kernel.yama.ptrace_scope = 1,Yes
1.5.3,Initial Setup / Configure Additional Process Hardening,Ensure core dumps are restricted., fs.suid_dumpable is set to 2 in running config (expected 0). fs.suid_dumpable = 0 not found in any sysctl conf file.,No
1.5.4,Initial Setup / Configure Additional Process Hardening,Ensure prelink is not installed.,prelink is not installed.,Yes
1.5.5,Initial Setup / Configure Additional Process Hardening,Ensure Automatic Error Reporting is not enabled., apport is enabled in /etc/default/apport: enabled=1 apport.service is active.,No
1.6.1,Initial Setup / Configure Command Line Warning Banners,Ensure /etc/motd is configured.,/etc/motd contains system information tokens; remove \v/\r/\m/\s or OS name,No
1.6.2,Initial Setup / Configure Command Line Warning Banners,Ensure /etc/issue is configured., /etc/issue includes system information.,No
1.6.3,Initial Setup / Configure Command Line Warning Banners,Ensure /etc/issue.net is configured., /etc/issue.net includes system information.,No
1.6.4,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/motd is configured., Permissions on /etc/motd are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.6.5,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/issue is configured., Permissions on /etc/issue are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.6.6,Initial Setup / Configure Command Line Warning Banners,Ensure access to /etc/issue.net is configured., Permissions on /etc/issue.net are 644 (0644 or more restrictive). Owned by root:root.,Yes
1.7.2,Initial Setup / Configure GNOME Display Manager,Ensure GDM login banner is configured,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.3,Initial Setup / Configure GNOME Display Manager,Ensure GDM disable-user-list option is enabled,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.4,Initial Setup / Configure GNOME Display Manager,Ensure GDM screen locks when the user is idle,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.5,Initial Setup / Configure GNOME Display Manager,Ensure GDM screen locks cannot be overridden,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.6,Initial Setup / Configure GNOME Display Manager,Ensure GDM automatic mounting of removable media is disabled,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.7,Initial Setup / Configure GNOME Display Manager,Ensure GDM disabling automatic mounting of removable media is not overridden,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.8,Initial Setup / Configure GNOME Display Manager,Ensure GDM autorun-never is enabled,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.9,Initial Setup / Configure GNOME Display Manager,Ensure GDM autorun-never is not overridden,GNOME Display Manager (GDM) is not installed. Control is Not Applicable,Not Applicable
1.7.10,Initial Setup / Configure GNOME Display Manager,Ensure XDMCP is not enabled,GNOME Display Manager (GDM) is not installed. Control is Not Applicable.,Not Applicable
2.1.1,Services / Configure Server Services,Ensure autofs services are not in use.,autofs package is not installed.,Yes
2.1.2,Services / Configure Server Services,Ensure avahi daemon services are not in use.,avahi-daemon package is not installed.,Yes
2.1.3,Services / Configure Server Services,Ensure dhcp server services are not in use.,isc-dhcp-server package is not installed.,Yes
2.1.4,Services / Configure Server Services,Ensure dns server services are not in use., bind9 package is not installed.,Yes
2.1.5,Services / Configure Server Services,Ensure dnsmasq services are not in use., dnsmasq package is not installed.,Yes
2.1.6,Services / Configure Server Services,Ensure ftp server services are not in use., vsftpd.service is not enabled. vsftpd.service is not active.,Yes
2.1.7,Services / Configure Server Services,Ensure ldap server services are not in use., slapd package is not installed.,Yes
2.1.8,Services / Configure Server Services,Ensure message access server services are not in use., dovecot-imapd and dovecot-pop3d packages are not installed.,Yes
2.1.9,Services / Configure Server Services,Ensure network file system services are not in use., nfs-kernel-server package is not installed.,Yes
2.1.10,Services / Configure Server Services,Ensure nis server services are not in use., ypserv package is not installed.,Yes
2.1.11,Services / Configure Server Services,Ensure print server services are not in use., cups package is not installed.,Yes
2.1.12,Services / Configure Server Services,Ensure rpcbind services are not in use., rpcbind package is not installed.,Yes
2.1.13,Services / Configure Server Services,Ensure rsync services are not in use., rsync.service is enabled.,No
2.1.14,Services / Configure Server Services,Ensure samba file server services are not in use., samba package is not installed.,Yes
2.1.15,Services / Configure Server Services,Ensure snmp services are not in use., snmpd package is not installed.,Yes
2.1.16,Services / Configure Server Services,Ensure tftp server services are not in use., tftpd-hpa package is not installed.,Yes
2.1.17,Services / Configure Server Services,Ensure web proxy server services are not in use., squid package is not installed.,Yes
2.1.18,Services / Configure Server Services,Ensure web server services are not in use., apache2 package is not installed. nginx package is not installed.,Yes
2.1.19,Services / Configure Server Services,Ensure xinetd services are not in use., xinetd package is not installed.,Yes
2.1.21,Services / Configure Server Services,Ensure mail transfer agents are configured for local-only mode.,"MTA is configured for local-only mode.  - Port ""25"" is not listening on a non-loopback network interface  - Port ""465"" is not listening on a non-loopback network interface  - Port ""587"" is not listening on a non-loopback network interface  - MTA not detected or in use",Yes
2.2.1,Services / Configure Client Services,Ensure NIS Client is not installed.,Compliant: NIS client (nis) package is not installed.,Yes
2.2.2,Services / Configure Client Services,Ensure rsh client is not installed.,Compliant: rsh client (rsh-client) package is not installed.,Yes
2.2.3,Services / Configure Client Services,Ensure talk client is not installed.,talk client service is not installed.,Yes
2.2.4,Services / Configure Client Services,Ensure telnet client is not installed.,telnet client service is installed.,No
2.2.5,Services / Configure Client Services,Ensure LDAP client is not installed.,LDAP client service is not installed.,Yes
2.2.6,Services / Configure Client Services,Ensure ftp client is not installed., ftp/tnftp client is installed.,No
2.3.1.1,Services / Configure Time Synchronization,Ensure a single time synchronization daemon is in use.,single time synchronization daemon is in use.,Yes
2.3.2.1,Services / Configure systemd - timesynced,Ensure systemd-timesyncd configured with authorized timeserver., NTP is not configured in /etc/systemd/timesyncd.conf. FallbackNTP is not configured in /etc/systemd/timesyncd.conf.,No
2.3.2.2,Services / Configure systemd - timesynced,Ensure systemd-timesyncd is enabled and running.,systemd-timesyncd is enabled and running.,Yes
2.3.3.1,Services / Configure chrony,Ensure chrony is configured with authorized timeserver., No server or pool directive found in /etc/chrony/chrony.conf.,No
2.3.3.2,Services / Configure chrony,Ensure chrony is running as user _chrony.,chrony is running as user _chrony.,Yes
2.3.3.3,Services / Configure chrony,Ensure chrony is enabled and running.,chrony is Not enabled or running.Please check..,No
2.4.1.1,Services / Job Schedulers,Ensure cron daemon is enabled and active., cron is enabled. cron is active.,Yes
2.4.1.2,Services / Job Schedulers,Ensure permissions on /etc/crontab are configured.,Permissions on /etc/crontab are NOT configured correctly. Mode: 644 Owner: root Group: root,No
2.4.1.3,Services / Job Schedulers,Ensure permissions on /etc/cron.hourly are configured.,Permissions on /etc/cron.hourly are NOT configured correctly. Mode: 755 Owner: root Group: root,No
2.4.1.4,Services / Job Schedulers,Ensure permissions on /etc/cron.daily are configured.,Permissions on /etc/cron.daily are NOT configured correctly. Mode: 755 Owner: root Group: root,No
2.4.1.5,Services / Job Schedulers,Ensure permissions on /etc/cron.weekly are configured.,Permissions on /etc/cron.weekly/ are NOT configured correctly. Mode: 755 Owner: root Group: root,No
2.4.1.6,Services / Job Schedulers,Ensure permissions on /etc/cron.monthly are configured.,Permissions on /etc/cron.monthly are NOT configured correctly. Mode: 755 Owner: root Group: root,No
2.4.1.7,Services / Job Schedulers,Ensure access to /etc/cron.yearly is configured.,/etc/cron.yearly does not exist. Not applicable.,Yes
2.4.1.8,Services / Job Schedulers,Ensure permissions on /etc/cron.d are configured.,Permissions on /etc/cron.d/ are NOT configured correctly. Mode: 755 Owner: root Group: root,No
2.4.1.9,Services / Job Schedulers,Ensure cron is restricted to authorized users., File /etc/cron.allow does not exist. Required: must exist.,No
2.4.2.1,Services / Job Schedulers,Ensure access to at is configured., /etc/at.allow does not exist.,No
3.1.2,Network / Configure Network Services,Ensure wireless interfaces are not available.,System has no wireless NICs installed.,Yes
3.1.3,Network / Configure Network Services,Ensure bluetooth services are not in use.,bluez package is not installed (compliant).,Yes
3.3.1,Network / Configure Network Kernel Parameters,Ensure ip forwarding is disabled., net.ipv4.ip_forward = 0 not found in any sysctl conf file. net.ipv6.conf.all.forwarding = 0 not found in any sysctl conf file.,No
3.3.2,Network / Configure Network Kernel Parameters,Ensure packet redirect sending is disabled., net.ipv4.conf.all.send_redirects is set to 1 in running config (expected 0). net.ipv4.conf.all.send_redirects = 0 not found in any sysctl conf file. net.ipv4.conf.default.send_redirects is set to 1 in running config (expected 0). net.ipv4.conf.default.send_redirects = 0 not found in any sysctl conf file.,No
3.3.3,Network / Configure Network Kernel Parameters,Ensure bogus icmp responses are ignored., net.ipv4.icmp_ignore_bogus_error_responses = 1 not found in any sysctl conf file.,No
3.3.4,Network / Configure Network Kernel Parameters,Ensure broadcast icmp requests are ignored., net.ipv4.icmp_echo_ignore_broadcasts = 1 not found in any sysctl conf file.,No
3.3.5,Network / Configure Network Kernel Parameters,Ensure icmp redirects are not accepted., net.ipv4.conf.all.accept_redirects is set to 1 in running config (expected 0). net.ipv4.conf.all.accept_redirects = 0 not found in any sysctl conf file. net.ipv4.conf.default.accept_redirects is set to 1 in running config (expected 0). net.ipv4.conf.default.accept_redirects = 0 not found in any sysctl conf file. net.ipv6.conf.all.accept_redirects is set to 1 in running config (expected 0). net.ipv6.conf.all.accept_redirects = 0 not found in any sysctl conf file. net.ipv6.conf.default.accept_redirects is set to 1 in running config (expected 0). net.ipv6.conf.default.accept_redirects = 0 not found in any sysctl conf file.,No
3.3.6,Network / Configure Network Kernel Parameters,Ensure secure icmp redirects are not accepted., net.ipv4.conf.all.secure_redirects is set to 1 in running config (expected 0). net.ipv4.conf.all.secure_redirects = 0 not found in any sysctl conf file. net.ipv4.conf.default.secure_redirects is set to 1 in running config (expected 0). net.ipv4.conf.default.secure_redirects = 0 not found in any sysctl conf file.,No
3.3.7,Network / Configure Network Kernel Parameters,Ensure reverse path filtering is enabled., net.ipv4.conf.all.rp_filter is set to 2 in running config. net.ipv4.conf.all.rp_filter = 1 or 2 found in sysctl conf. net.ipv4.conf.default.rp_filter is set to 2 in running config. net.ipv4.conf.default.rp_filter = 1 or 2 found in sysctl conf.,Yes
3.3.8,Network / Configure Network Kernel Parameters,Ensure source routed packets are not accepted., net.ipv4.conf.all.accept_source_route = 0 not found in any sysctl conf file. net.ipv4.conf.default.accept_source_route is set to 1 in running config (expected 0). net.ipv4.conf.default.accept_source_route = 0 not found in any sysctl conf file. net.ipv6.conf.all.accept_source_route = 0 not found in any sysctl conf file. net.ipv6.conf.default.accept_source_route = 0 not found in any sysctl conf file.,No
3.3.9,Network / Configure Network Kernel Parameters,Ensure suspicious packets are logged., net.ipv4.conf.all.log_martians is set to 0 in running config (expected 1). net.ipv4.conf.all.log_martians = 1 not found in any sysctl conf file. net.ipv4.conf.default.log_martians is set to 0 in running config (expected 1). net.ipv4.conf.default.log_martians = 1 not found in any sysctl conf file.,No
3.3.10,Network / Configure Network Kernel Parameters,Ensure tcp syn cookies is enabled., net.ipv4.tcp_syncookies = 1 not found in any sysctl conf file.,No
3.3.11,Network / Configure Network Kernel Parameters,Ensure ipv6 router advertisements are not accepted., net.ipv6.conf.all.accept_ra is set to 1 in running config (expected 0). net.ipv6.conf.all.accept_ra = 0 not found in any sysctl conf file. net.ipv6.conf.default.accept_ra is set to 1 in running config (expected 0). net.ipv6.conf.default.accept_ra = 0 not found in any sysctl conf file.,No
4.1.1,Host Based Firewall / Configure a single firewall utility,Ensure a single firewall configuration utility is in use.,A single firewall is in use: ufw,Yes
4.2.1,Host Based Firewall / Configure UncomplicatedFirewall,Ensure ufw is installed.,ufw is installed.,Yes
4.2.2,Host Based Firewall / Configure UncomplicatedFirewall,Ensure nftables is not in use with ufw., nftables is not installed. nftables.service is not enabled. nftables.service is not active.,Yes
4.2.3,Host Based Firewall / Configure UncomplicatedFirewall,Ensure iptables-persistent is not installed with ufw.,iptables-persistent is not installed.,Yes
4.2.4,Host Based Firewall / Configure UncomplicatedFirewall,Ensure ufw service is enabled., ufw status is not active.,No
4.2.5,Host Based Firewall / Configure UncomplicatedFirewall,Ensure ufw loopback traffic is configured., Traffic from 127.0.0.0/8 on non-loopback is not denied. Traffic from ::1 on non-loopback is not denied.,No
4.2.7,Host Based Firewall / Configure UncomplicatedFirewall,Ensure ufw firewall rules exist for all open ports.,The following port(s) don't have a rule in UFW: 22 53 68 ,No
4.2.8,Host Based Firewall / Configure UncomplicatedFirewall,Ensure ufw default deny firewall policy., Default incoming policy is not deny/reject/disabled. Default outgoing policy is not deny/reject/disabled. Default routed policy is not deny/reject/disabled.,No
4.3.1,Host Based Firewall / Configure nftables,Ensure nftables is installed.,nftables is not installed.,No
4.3.2,Host Based Firewall / Configure nftables,Ensure ufw is uninstalled or disabled with nftables., ufw.service is enabled.,No
4.3.4,Host Based Firewall / Configure nftables,Ensure a nftables table exists.,No nftables table exists.,No
4.3.5,Host Based Firewall / Configure nftables,Ensure nftables base chains exist., Base chain for INPUT does not exist. Base chain for FORWARD does not exist. Base chain for OUTPUT does not exist.,No
4.3.6,Host Based Firewall / Configure nftables,Ensure nftables loopback traffic is configured., Loopback interface is not configured to accept traffic. IPv4 loopback traffic from 127.0.0.0/8 is not configured to drop. IPv6 loopback traffic from ::1 is not configured to drop.,No
4.3.8,Host Based Firewall / Configure nftables,Ensure nftables default deny firewall policy., INPUT chain does not have default policy drop. FORWARD chain does not have default policy drop. OUTPUT chain does not have default policy drop.,No
4.3.9,Host Based Firewall / Configure nftables,Ensure nftables service is enabled.,nftables service is not enabled.,No
4.3.10,Host Based Firewall / Configure nftables,Ensure nftables rules are permanent., /etc/nftables.conf does not exist.,No
4.4.1.1,Host Based Firewall / Configure iptables,Ensure iptables packages are installed., iptables-persistent is not installed.,No
4.4.1.2,Host Based Firewall / Configure iptables,Ensure nftables is not in use with iptables., nftables is not installed.,Yes
4.4.1.3,Host Based Firewall / Configure iptables,Ensure ufw is not in use with iptables., ufw.service is enabled. ufw.service is active.,No
4.4.2.1,Host Based Firewall / Configure iptables,Ensure iptables default deny firewall policy., Chain INPUT policy is ACCEPT (required: DROP or REJECT). Chain OUTPUT policy is ACCEPT (required: DROP or REJECT). Chain FORWARD policy is ACCEPT (required: DROP or REJECT).,No
4.4.2.2,Host Based Firewall / Configure iptables,Ensure iptables loopback traffic is configured., INPUT rule to ACCEPT loopback (lo) traffic is missing. INPUT rule to DROP 127.0.0.0/8 on non-lo is missing. OUTPUT rule to ACCEPT loopback (lo) traffic is missing. ,No
4.4.2.4,Host Based Firewall / Configure iptables,Ensure iptables firewall rules exist for all open ports.,Firewall rules missing for IPv4 ports: tcp/22 tcp/53 udp/53 udp/68,No
4.4.3.1,Host Based Firewall / Configure iptables,Ensure ip6tables default deny firewall policy.,ip6tables default deny policy is not configured for INPUT/OUTPUT/FORWARD.,No
4.4.3.2,Host Based Firewall / Configure iptables,Ensure ip6tables loopback traffic is configured., IPv6 INPUT loopback accept rule missing. IPv6 OUTPUT loopback accept rule missing. IPv6 ::1 drop rule missing. ,No
4.4.3.4,Host Based Firewall / Configure iptables,Ensure ip6tables firewall rules exist for all open ports.,Missing ip6tables INPUT ACCEPT rules for: tcp/22 . ,No
5.1.1,Access Control / Configure SSH Server,Ensure access to /etc/ssh/sshd_config is configured.,Access to /etc/ssh/sshd_config is configured correctly.,Yes
5.1.2,Access Control / Configure SSH Server,Ensure access to SSH private host key files is configured.,"SSH private host key files are configured correctly.  File: ""/etc/ssh/ssh_host_ecdsa_key"": Correct mode (0600) owner (root) group (root). File: ""/etc/ssh/ssh_host_ed25519_key"": Correct mode (0600) owner (root) group (root). File: ""/etc/ssh/ssh_host_dsa_key"": Correct mode (0600) owner (root) group (root). File: ""/etc/ssh/ssh_host_rsa_key"": Correct mode (0600) owner (root) group (root).",Yes
5.1.3,Access Control / Configure SSH Server,Ensure access to SSH public host key files is configured.,"SSH public host key files are configured correctly.  File: ""/etc/ssh/ssh_host_ed25519_key.pub"": Correct mode (0644)  owner (root)  group (root). File: ""/etc/ssh/ssh_host_rsa_key.pub"": Correct mode (0644)  owner (root)  group (root). File: ""/etc/ssh/ssh_host_ecdsa_key.pub"": Correct mode (0644)  owner (root)  group (root). File: ""/etc/ssh/ssh_host_dsa_key.pub"": Correct mode (0644)  owner (root)  group (root).",Yes
5.1.4,Access Control / Configure SSH Server,Ensure sshd access is configured.,No AllowUsers/AllowGroups/DenyUsers/DenyGroups configured in sshd.,No
5.1.5,Access Control / Configure SSH Server,Ensure sshd Banner is configured., sshd Banner is not set or set to none.,No
5.1.6,Access Control / Configure SSH Server,Ensure sshd Ciphers are configured., No weak ciphers found.,Yes
5.1.7,Access Control / Configure SSH Server,Ensure sshd ClientAliveInterval and ClientAliveCountMax are configured.," ClientAliveInterval is set to ""0"" - must be greater than 0.",No
5.1.10,Access Control / Configure SSH Server,Ensure sshd HostbasedAuthentication is disabled., HostbasedAuthentication is set to no in sshd running config.,Yes
5.1.11,Access Control / Configure SSH Server,Ensure sshd IgnoreRhosts is enabled., IgnoreRhosts is set to yes in sshd running config.,Yes
5.1.12,Access Control / Configure SSH Server,Ensure sshd KexAlgorithms is configured., No weak KexAlgorithms found.,Yes
5.1.13,Access Control / Configure SSH Server,Ensure sshd LoginGraceTime is configured.," LoginGraceTime is set to ""120"" - must be between 1 and 60 seconds per CIS.",No
5.1.14,Access Control / Configure SSH Server,Ensure sshd LogLevel is configured.," LogLevel is set to ""INFO"" which is acceptable (VERBOSE or INFO required).",Yes
5.1.15,Access Control / Configure SSH Server,Ensure sshd MACs are configured., Weak MAC(s) found in sshd config: umac-64-etm@openssh.com umac-128-etm@openssh.com hmac-sha1-etm@openssh.com umac-64@openssh.com umac-128@openssh.com,No
5.1.16,Access Control / Configure SSH Server,Ensure sshd MaxAuthTries is configured.," MaxAuthTries is set to ""6"" - must be 4 or less per CIS.",No
5.1.17,Access Control / Configure SSH Server,Ensure sshd MaxSessions is configured., MaxSessions is set to 10 (10 or less - compliant).,Yes
5.1.18,Access Control / Configure SSH Server,Ensure sshd MaxStartups is configured.," MaxStartups is set to ""10:30:100"" - must be 10:30:60 or more restrictive.",No
5.1.19,Access Control / Configure SSH Server,Ensure sshd PermitEmptyPasswords is disabled., PermitEmptyPasswords is set to no (compliant).,Yes
5.1.20,Access Control / Configure SSH Server,Ensure sshd PermitRootLogin is disabled.," PermitRootLogin is set to ""yes"".",No
5.1.21,Access Control / Configure SSH Server,Ensure sshd PermitUserEnvironment is disabled., PermitUserEnvironment is set to no (compliant).,Yes
5.1.22,Access Control / Configure SSH Server,Ensure sshd UsePAM is enabled., UsePAM is set to yes (compliant).,Yes
5.2.1,Access Control / Configure Privilege Escalation,Ensure sudo is installed.,sudo is installed.,Yes
5.2.2,Access Control / Configure Privilege Escalation,Ensure sudo commands use pty.,sudo commands NOT configured to use pty.,No
5.2.3,Access Control / Configure Privilege Escalation,Ensure sudo log file exists.,sudo log file NOT configured.,No
5.2.5,Access Control / Configure Privilege Escalation,Ensure re-authentication for privilege escalation is not disabled globally.,re-authentication for privilege escalation is disabled globally.,Yes
5.2.6,Access Control / Configure Privilege Escalation,Ensure sudo timestamp_timeout is configured., timestamp_timeout is not explicitly configured - system default is 15.0 minutes which is compliant per CIS.,Yes
5.2.7,Access Control / Configure Privilege Escalation,Ensure access to the su command is restricted.,access to the su command is NOT restricted.,No
5.3.1.1,Access Control / Configure PAM,Ensure latest version of pam is installed., libpam-runtime is installed and at the latest available version (version: 1.3.1-5ubuntu4.7).,Yes
5.3.1.2,Access Control / Configure PAM,Ensure latest version of libpam-modules is installed., libpam-modules is installed and at the latest available version (version: 1.3.1-5ubuntu4.7).,Yes
5.3.1.3,Access Control / Configure PAM,Ensure latest version of libpam-pwquality is installed., libpam-pwquality is not installed.,No
5.3.2.1,Access Control / Configure PAM,Ensure pam_unix module is enabled., pam_unix.so is enabled in /etc/pam.d/common-account. pam_unix.so is enabled in /etc/pam.d/common-auth. pam_unix.so is enabled in /etc/pam.d/common-password. pam_unix.so is enabled in /etc/pam.d/common-session. pam_unix.so is enabled in /etc/pam.d/common-session-noninteractive.,Yes
5.3.2.2,Access Control / Configure PAM,Ensure pam_faillock module is enabled., pam_faillock.so preauth (requisite) is NOT configured in /etc/pam.d/common-auth. pam_faillock.so authfail ([default=die]) is NOT configured in /etc/pam.d/common-auth. pam_faillock.so (required) is NOT configured in /etc/pam.d/common-account.,No
5.3.2.3,Access Control / Configure PAM,Ensure pam_pwquality module is enabled., pam_pwquality.so (requisite) is NOT configured in /etc/pam.d/common-password.,No
5.3.2.4,Access Control / Configure PAM,Ensure pam_pwhistory module is enabled., pam_pwhistory.so (requisite) is NOT configured in /etc/pam.d/common-password.,No
5.3.3.1.1,Access Control / Configure PAM,Ensure password failed attempts lockout is configured., deny is not explicitly set in /etc/security/faillock.conf - default is 3 which is compliant per CIS.,Yes
5.3.3.1.2,Access Control / Configure PAM,Ensure password unlock time is configured., unlock_time is not explicitly configured in /etc/security/faillock.conf - default is 600 seconds which does not meet CIS requirement of 0 (never) or 900 or more seconds.,No
5.3.3.2.1,Access Control / Configure PAM,Ensure password number of changed characters is configured., difok is not explicitly configured (default: 1). Required: 2 or more.,No
5.3.3.2.2,Access Control / Configure PAM,Ensure minimum password length is configured., minlen is not explicitly configured (default: 8). Required: 14 or more.,No
5.3.3.2.4,Access Control / Configure PAM,Ensure password same consecutive characters is configured., maxrepeat is not configured (default: 0 = disabled). Required: 1-3.,No
5.3.3.2.5,Access Control / Configure PAM,Ensure password maximum sequential characters is configured., maxsequence is not configured (default: 0 = disabled). Required: 1-3.,No
5.3.3.2.6,Access Control / Configure PAM,Ensure password dictionary check is enabled.,dictcheck is not explicitly configured (default: 1 = enabled - compliant).,Yes
5.3.3.2.7,Access Control / Configure PAM,Ensure password quality checking is enforced.,enforcing is not explicitly configured (default: 1 = enabled - compliant).,Yes
5.3.3.2.8,Access Control / Configure PAM,Ensure password quality is enforced for the root user., enforce_for_root is not configured in pwquality config. Required: enforce_for_root must be set.,No
